index_zero_based,part_name,mesh,category,mass_kg,com_part_x_m,com_part_y_m,com_part_z_m,com_export_x_m,com_export_y_m,com_export_z_m,ixx_kg_m2,ixy_kg_m2,ixz_kg_m2,iyy_kg_m2,iyz_kg_m2,izz_kg_m2,mesh_volume_m3,density_estimate_kg_m3,assigned_material_name,tensor_physically_consistent,source_document_id
244,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_22,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.24113395234615911,0.024453242561365718,0.08673851256373828,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
245,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_23,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.20924566977980585,-0.025311161405654335,0.08691582046804804,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
246,motor_bearing_holder,assets/motor_bearing_holder.stl,custom_robot_structure,0.014515050518199327,3.9428425384572737e-19,1.750237419510302e-18,0.0024329825491675784,-0.2261795295419499,0.02149934658358424,0.0746002084866024,2.530704534035661e-06,0.0,0.0,2.5307045340356596e-06,0.0,5.000910128465472e-06,5.3691240476767985e-06,2703.429905755286,,True,881b01051a1ec5c958bf7768
247,bearing_insert,assets/bearing_insert.stl,custom_robot_structure,0.005562323467948138,1.1864652213259286e-18,1.5278124024661033e-18,0.005597969272893216,-0.22620036420869546,0.02566428119597286,0.07460020848660233,3.778434887061974e-07,0.0,0.0,3.778434887061972e-07,0.0,7.226264278991418e-07,2.0575060437367046e-06,2703.429953404277,,True,881b01051a1ec5c958bf7768
248,motor_flange,assets/motor_flange.stl,custom_robot_structure,0.006284657394665203,7.013444274484659e-19,-0.0018970087906854303,1.3865922954187293e-18,-0.22593776664324824,-0.026830040062752702,0.07460020848660344,3.775356040564229e-07,0.0,0.0,7.402510137474455e-07,0.0,3.7753560405642284e-07,2.342046312425591e-06,2683.404406361359,,True,881b01051a1ec5c958bf7768
249,hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe,assets/hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl,catalog_fasteners_and_hardware,0.000665400491340697,-2.2257555296884423e-19,-3.1565794121570914e-21,-0.004190843907588401,-0.24531970502947273,0.019921176131393575,0.07261953051865419,7.016813699463784e-09,0.0,0.0,7.016813699463784e-09,0.0,1.2791475269095532e-09,8.585519269790494e-08,7750.264956972535,,True,c6f2bd5eba8853eca1ecbf6f
250,hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe_2,assets/hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl,catalog_fasteners_and_hardware,0.000665400491340697,-2.2257555296884423e-19,-3.1565794121570914e-21,-0.004190843907588401,-0.20702452307497868,0.02011274392974742,0.07658088645455066,7.016813699463784e-09,0.0,0.0,7.016813699463784e-09,0.0,1.2791475269095532e-09,8.585519269790494e-08,7750.264956972535,,True,c6f2bd5eba8853eca1ecbf6f
251,hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe_3,assets/hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl,catalog_fasteners_and_hardware,0.000665400491340697,-2.2257555296884423e-19,-3.1565794121570914e-21,-0.004190843907588401,-0.2241914608660557,0.020026868049041496,0.055452377936190525,7.016813699463784e-09,0.0,0.0,7.016813699463784e-09,0.0,1.2791475269095532e-09,8.585519269790494e-08,7750.264956972535,,True,c6f2bd5eba8853eca1ecbf6f
252,hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe_4,assets/hex_socket_head_countersunk_screw_grade_c_m3x0_5_x_10__1cb4a3dadc02821627dad8d7e6578bbe.stl,catalog_fasteners_and_hardware,0.000665400491340697,-2.2257555296884423e-19,-3.1565794121570914e-21,-0.004190843907588401,-0.2281527672383957,0.0200070520120995,0.09374803903701433,7.016813699463784e-09,0.0,0.0,7.016813699463784e-09,0.0,1.2791475269095532e-09,8.585519269790494e-08,7750.264956972535,,True,c6f2bd5eba8853eca1ecbf6f
253,m4_low_profile_socket_head_screw__8mm_l__18_8_ss_18,assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0014360273543625498,5.993079289022729e-07,2.427383866312977e-07,0.001566162698562903,-0.18008867636172826,-0.029451874178594697,0.023967400779691138,1.6920964131490878e-08,4.194975610991509e-15,1.993992270223131e-12,1.691956690952173e-08,-8.190885933173142e-12,6.1975505898616726e-09,1.7863835505454422e-07,8038.740358553364,,True,8af10677b2501bd9ce00a5d0
254,m4_low_profile_socket_head_screw__8mm_l__18_8_ss_19,assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0014360273543625498,5.993079289022729e-07,2.427383866312977e-07,0.001566162698562903,-0.16698210866274435,-0.029386309891132365,0.04009853789014208,1.6920964131490878e-08,4.194975610991509e-15,1.993992270223131e-12,1.691956690952173e-08,-8.190885933173142e-12,6.1975505898616726e-09,1.7863835505454422e-07,8038.740358553364,,True,8af10677b2501bd9ce00a5d0
255,m4_low_profile_socket_head_screw__8mm_l__18_8_ss_20,assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0014360273543625498,5.993079289022729e-07,2.427383866312977e-07,0.001566162698562903,-0.1576689088357206,-0.02933972154514663,0.03253136282226205,1.6920964131490878e-08,4.194975610991509e-15,1.993992270223131e-12,1.691956690952173e-08,-8.190885933173142e-12,6.1975505898616726e-09,1.7863835505454422e-07,8038.740358553364,,True,8af10677b2501bd9ce00a5d0
256,m4_low_profile_socket_head_screw__8mm_l__18_8_ss_21,assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0014360273543625498,5.993079289022729e-07,2.427383866312977e-07,0.001566162698562903,-0.15956559277170068,-0.029349209515884926,0.020682206733096585,1.6920964131490878e-08,4.194975610991509e-15,1.993992270223131e-12,1.691956690952173e-08,-8.190885933173142e-12,6.1975505898616726e-09,1.7863835505454422e-07,8038.740358553364,,True,8af10677b2501bd9ce00a5d0
257,m4_low_profile_socket_head_screw__8mm_l__18_8_ss_22,assets/m4_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0014360273543625498,5.993079289022729e-07,2.427383866312977e-07,0.001566162698562903,-0.1707754765347045,-0.029405285832608957,0.016400225711811114,1.6920964131490878e-08,4.194975610991509e-15,1.993992270223131e-12,1.691956690952173e-08,-8.190885933173142e-12,6.1975505898616726e-09,1.7863835505454422e-07,8038.740358553364,,True,8af10677b2501bd9ce00a5d0
258,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_24,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.18839724043377445,0.024285047256543166,0.028250951439621114,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
259,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_25,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.1740973902333453,-0.02470333026512608,0.008159985022515966,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
260,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_26,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.16914748128526003,0.02438134224172688,0.047500951439621686,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
261,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_27,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.1498977221367448,0.024477637226908665,0.028250951439621908,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
262,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_28,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.16370675007196617,-0.02465135213216876,0.04833811209820811,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
263,m3_low_profile_socket_head_screw__8mm_l__18_8_ss_29,assets/m3_low_profile_socket_head_screw__8mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0007121385343213328,1.365164413103961e-07,-9.514396309709326e-07,0.0014296486293970238,-0.14881325796446127,-0.024576848934974322,0.02305366347623273,7.223101107201562e-09,-1.5177735830262759e-13,3.034937396020729e-13,7.2232380572592355e-09,-9.839310460762436e-13,1.7322118524543106e-09,8.856662721258969e-08,8040.7096525417055,,True,626346dce1edef09e7e90546
