sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
252,0.19261132925748825,0.0010000001639127731,0.015484392642974854,-0.10931368228501254,0.15932861243169294,-0.0192604391729349,0.005750000011175871,2.208718528794109e-18,occupied,[2],[],1,0.0
271,0.19265086017549038,0.004187500104308128,0.015521982801146805,-0.10936580285004359,0.15934407059745864,-0.02244794228278466,0.0025625000707805157,-8.834874115176436e-18,occupied,[2],[],1,0.0
272,0.19265089556574821,0.004187500104308128,0.013083781697787344,-0.10725126787670884,0.16055797605674504,-0.02244787798156227,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
279,0.19268341548740864,0.0010000001639127731,0.012989786453545094,-0.10718610046944736,0.1606330863023173,-0.019260377364886838,0.005750000011175871,-3.533949646070574e-17,occupied,[2],[],1,0.0
280,0.19268394447863102,-0.002187499776482582,0.015523328795097768,-0.10938376258168137,0.1593723149118397,-0.016072944277322993,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
293,0.19271593540906906,-0.002187499776482582,0.012895791209302843,-0.10712093306218588,0.16070819654788948,-0.01607287674821141,0.0025625000707805157,-1.766974823035287e-17,occupied,[2],[],1,0.0
297,0.19272347539663315,0.0010000001639127731,0.01556091895326972,-0.10943588314671243,0.15938777307760543,-0.019260447387172752,0.005750000011175871,-3.092205940311753e-17,occupied,[2],[],1,0.0
312,0.19276300631463528,0.004187500104308128,0.015598509111441672,-0.10948800371174348,0.1594032312433711,-0.022447950497022508,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
321,0.19279609061777592,-0.002187499776482582,0.015599855105392635,-0.10950596344338126,0.1594314755577522,-0.016072952491560842,0.0025625000707805157,1.3252311172764653e-17,occupied,[2],[],1,0.0
324,0.19279944337904453,0.004187500104308128,0.01282181974966079,-0.10709803446437263,0.16081722504216928,-0.022447879279946265,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
338,0.19283196330070496,0.0010000001639127731,0.012727824505418539,-0.10703286705711117,0.16089233528774152,-0.019260378663270836,0.005750000011175871,0.0,occupied,[2],[],1,0.0
340,0.19283562153577805,0.0010000001639127731,0.015637445263564587,-0.10955808400841233,0.1594469337235179,-0.0192604556014106,0.005750000011175871,-3.092205940311753e-17,occupied,[2],[],1,0.0
351,0.1928672268986702,-0.002187499776482582,0.012688581715337932,-0.10701655018279277,0.16094256613571212,-0.016072879642179252,0.0025625000707805157,-2.6504622345529306e-17,occupied,[2],[],1,0.0
356,0.19287515245378017,0.004187500104308128,0.01567503542173654,-0.10961020457344338,0.1594623918892836,-0.02244795871126036,0.0025625000707805157,1.766974823035287e-17,occupied,[2],[],1,0.0
367,0.19290823675692081,-0.002187499776482582,0.0156763814156875,-0.10962816430508115,0.1594906362036647,-0.01607296070579869,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
382,0.19294776767492294,0.0010000001639127731,0.015713971573859453,-0.10968028487011222,0.1595060943694304,-0.01926046381564845,0.005750000011175871,0.0,occupied,[2],[],1,0.0
383,0.19294799119234085,0.004187500104308128,0.012559857801534235,-0.10694480105203644,0.1610764740275935,-0.022447880578330262,0.0025625000707805157,-4.417437057588218e-17,occupied,[2],[],1,0.0
396,0.1929832547903061,0.0010000001639127731,0.012520615011453629,-0.10692848417771805,0.16112670487556413,-0.01926038155723868,0.005750000011175871,-2.6504622345529306e-17,occupied,[2],[],1,0.0
408,0.19301851838827133,-0.002187499776482582,0.012481372221373022,-0.10691216730339967,0.16117693572353475,-0.0160728825361471,0.0025625000707805157,2.6504622345529306e-17,occupied,[2],[],1,0.0
410,0.1930199097841978,0.004187500104308128,0.015736413188278675,-0.10973550341979092,0.15955737669831555,-0.022447968327727493,0.0025625000707805157,1.3252311172764653e-17,occupied,[2],[],1,0.0
411,0.1930203828960657,-0.002187499776482582,0.015752907725982368,-0.10975036516678105,0.15954979684957715,-0.01607296892003654,0.0025625000707805157,4.417437057588218e-18,occupied,[2],[],1,0.0
439,0.19309252500534058,0.0010000001639127731,0.01577534934040159,-0.10980558371645976,0.15960107917846236,-0.019260473432115583,0.005750000011175871,-4.417437057588218e-18,occupied,[2],[],1,0.0
442,0.19309928268194199,0.004187500104308128,0.012352648307569325,-0.10684041817264332,0.16131084361541614,-0.022447883472298105,0.0025625000707805157,-2.4295903816735198e-17,occupied,[2],[],1,0.0
452,0.19313454627990723,0.0010000001639127731,0.012313405517488718,-0.10682410129832495,0.1613610744633868,-0.019260384451206525,0.005750000011175871,-3.3130777931911635e-17,occupied,[2],[],1,0.0
462,0.19316466711461544,0.004187500104308128,0.015797790954820812,-0.10986080226613845,0.15965236150734755,-0.022447977944194626,0.0025625000707805157,3.754821498949985e-17,occupied,[2],[],1,0.0
463,0.19316514022648335,-0.002187499776482582,0.015814285492524505,-0.1098756640131286,0.15964478165860913,-0.016072978536503676,0.0025625000707805157,4.417437057588218e-18,occupied,[2],[],1,0.0
469,0.19316980987787247,-0.002187499776482582,0.012274162727408111,-0.10680778442400657,0.1614113053113574,-0.016072885430114946,0.0025625000707805157,2.208718528794109e-17,occupied,[2],[],1,0.0
491,0.1932372823357582,0.0010000001639127731,0.015836727106943727,-0.1099308825628073,0.15969606398749434,-0.019260483048582716,0.005750000011175871,1.3252311172764653e-17,occupied,[2],[],1,0.0
498,0.19325057417154312,0.004187500104308128,0.012145438813604414,-0.10673603529325022,0.1615452132032388,-0.022447886366265952,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
511,0.19328583776950836,0.0010000001639127731,0.012106196023523808,-0.10671971841893184,0.16159544405120943,-0.019260387345174372,0.005750000011175871,-1.3252311172764653e-17,occupied,[2],[],1,0.0
519,0.19330942444503307,0.004187500104308128,0.01585916872136295,-0.109986101112486,0.15974734631637952,-0.02244798756066176,0.0025625000707805157,5.300924469105861e-17,occupied,[2],[],1,0.0
520,0.19330989755690098,-0.002187499776482582,0.01587566325906664,-0.11000096285947614,0.1597397664676411,-0.01607298815297081,0.0025625000707805157,1.1043592643970545e-17,occupied,[2],[],1,0.0
523,0.1933211013674736,-0.002187499776482582,0.0120669532334432,-0.10670340154461347,0.16164567489918005,-0.01607288832408279,0.0025625000707805157,0.0,occupied,[2],[],1,0.0
549,0.19338203966617584,0.0010000001639127731,0.015898104873485863,-0.11005618140915484,0.1597910487965263,-0.019260492665049853,0.005750000011175871,-1.766974823035287e-17,occupied,[2],[],1,0.0
555,0.19340186566114426,0.004187500104308128,0.011938229319639504,-0.10663165241385711,0.16177958279106142,-0.0224478892602338,0.0025625028311664134,1.766974823035287e-17,occupied,[2],[],1,0.0
563,0.1934371292591095,0.0010000001639127731,0.011898986529558897,-0.10661533553953875,0.16182981363903207,-0.019260390239142215,0.00575000038581712,4.417437057588218e-17,occupied,[2],[],1,0.0
572,0.1934541817754507,0.004187500104308128,0.015920546487905085,-0.11011139995883354,0.1598423311254115,-0.022447997177128892,0.0025625000707805157,3.3130777931911635e-17,occupied,[2],[],1,0.0
573,0.1934546548873186,-0.002187499776482582,0.015937041025608778,-0.11012626170582367,0.15983475127667304,-0.016072997769437943,0.0025625000707805157,-4.417437057588218e-18,occupied,[2],[],1,0.0
575,0.19347239285707474,-0.002187499776482582,0.01185974373947829,-0.10659901866522035,0.16188004448700266,-0.016072891218050635,0.0025625005436508324,0.0,occupied,[2],[],1,0.0
594,0.19352679699659348,0.0010000001639127731,0.015959482640028,-0.11018148025550238,0.15988603360555828,-0.019260502281516986,0.005750000011175871,-2.4295903816735198e-17,occupied,[2],[],1,0.0
613,0.19359893910586834,0.004187500104308128,0.015981924254447222,-0.11023669880518107,0.15993731593444346,-0.02244800679359603,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
669,0.1938363928347826,-0.002187499776482582,0.015984576428309083,-0.11035753802198206,0.16014215124435172,-0.016073020113846745,0.0025625000707805157,4.417437057588218e-18,occupied,[2],[],1,0.0
678,0.19390853494405746,0.0010000001639127731,0.016007018042728305,-0.11041275657166076,0.1601934335732369,-0.019260524625925788,0.005750000011175871,-2.208718528794109e-18,occupied,[2],[],1,0.0
684,0.19398067705333233,0.004187500104308128,0.016029459657147527,-0.11046797512133946,0.1602447159021221,-0.02244802913800483,0.0025625000707805157,3.533949646070574e-17,occupied,[2],[],1,0.0
719,0.1942181307822466,-0.002187499776482582,0.016032111831009388,-0.11058881433814044,0.16044955121203036,-0.01607304245825555,0.0025625000707805157,-3.3130777931911635e-17,occupied,[2],[],1,0.0
733,0.19429027289152145,0.0010000001639127731,0.01605455344542861,-0.11064403288781915,0.16050083354091557,-0.01926054697033459,0.005750000011175871,0.0,occupied,[2],[],1,0.0
737,0.19436241500079632,0.004187500104308128,0.01607699505984783,-0.11069925143749784,0.16055211586980075,-0.022448051482413633,0.0025625000707805157,6.6261555863823264e-18,occupied,[2],[],1,0.0
758,0.19459986872971058,-0.002187499776482582,0.016079647233709693,-0.11082009065429883,0.160756951179709,-0.016073064802664353,0.0025625000707805157,-4.417437057588218e-17,occupied,[2],[],1,0.0
772,0.19467201083898544,0.0010000001639127731,0.016102088848128915,-0.11087530920397753,0.16080823350859422,-0.019260569314743396,0.005750000011175871,-2.4295903816735198e-17,occupied,[2],[],1,0.0
